Artist	Song	Id	Key
The Vines	Sun Child	TRHQAJO128F428C4BA	D_major
Marisa Monte	Nao E Facil	TRHQDFZ128F425C9D3	E_major
Canibus	I Gotta Story 2 Tell	TRHQDNY128F4288A62	C_major
The Doobie Brothers	What A Fool Believes (Album Version)	TRHQHIJ128F423C184	C#_major
Public Domain	I Feel Love (Public Domain's Dirty Tech-Trance Vocal)	TRHQONH128F149566E	C_minor
Oomph!	Gott ist ein Popstar	TRHQREL128F42BC7D4	C#_minor
Radiohead	Pyramid Song	TRHQYEV128E078129D	F#_minor
N/A	N/A	Series([], Name: Id, dtype: object)	E_major
Weird Al Yankovic	"Phony Calls (Parody of ""Waterfalls"" by TLC)"	TRHRCXK128F4263C4C	Bb_minor
Shirelles	Will You Still Love Me Tomorrow	TRHRDMI128F92E192D	G_major
The Emperor Machine	The Symptomatic Removal Of The Sanity (Single Version)	TRHRELM128EF34C16F	E_major
Dalida	Laissez-Moi Danser (Monday Tuesday)	TRHRFZL128F148C9A3	D_major
Anna Abreu	Vinegar	TRHRIWF128F9313EB1	A_minor
Ricky Martin	Hooray ! Hooray ! It's A Holi-Holiday !	TRHROMY128F426B121	E_minor
REO Speedwagon	Keep Pushin'	TRHRPUD128F4276FAC	E_major
Kurt Nilsen	Ordinary World	TRHRQAK128F42647B0	E_major
Agnelli & Nelson	Hudson Street	TRHRVMB12903CD7020	A_minor
Yannick	Ces soirées là	TRHRWZW128F92EA9BD	C_major
Kurt Vile	God Is Saying This To You	TRHRZNY12903CD7EA3	Eb_major
Bobby Pulido	Olvidate De Mi	TRHSEUK128F426685C	F_major
Michael Card	Love Crucified Arose	TRHSEWJ128F92FE5DA	G_major
Soul Avengerz vs. Butcherd Beats	The Trumpets Shall Sound (Original Instrumental mix)	TRHSLFK128F930804B	C_major
Glen Campbell And Bobbie Gentry	All I Have To Do Is Dream (2003 Digital Remaster)	TRHSMGL128F934B7FE	Bb_major
Michele Zarrillo	Gli Angeli	TRHSNVQ128F4260748	G_minor
Panpipes	The Name Of The Game	TRHSOKU128F92CBABE	F#_minor
Novaspace	Time After Time	TRHSOZX128F9300915	A_minor
Limahl	Never Ending Story	TRHSQAU128F146630D	C_minor
Kuijken Kwartet	Introitus: Requiem: Rex tremendae	TRHSVSL128F423F64F	G_minor
Stu Allan	Superman (Sparky's Superman Returns Radio Edit)	TRHSWCY128F4284B8D	F_minor
Lange	Out Of The Sky	TRHSWLN128F92E8F48	G_minor
Ketama	K Cha Cha	TRHSYAI128F1490E97	E_minor
Charlie Rich	I Love My Friend	TRHSYNT128F4271779	Bb_major
Candy Lo	Shen Lan (Deep Blue)	TRHSZFT128F931DFE9	Db_major
Xutos & Pontapés	A Minha Casinha	TRHSZVO128F92F9DD4	F#_minor
Scout Niblett	The Bell	TRHTABM128F422B22E	E_major
I Collage	S.O.S.	TRHTAOS128F425FF16	C#_minor
Jean Michel Jarre	Oxygène_ Pt. IV	TRHTASI128F930697A	C_minor
Marty	Anna Dai Capelli Rossi	TRHTDGV12903D042A7	C_major
Gary Numan	Cars (Remastered 2009)	TRHTDNM12903CD211A	A_minor
Lazard	I am Alive	TRHTEBI128F4286DE9	F_major
Rihanna	SOS	TRHTEUK128F146E6D5	F#_minor
Los Delinqüentes	¿Quién Es Más Poderoso El Aire O El Fuego?	TRHTFYA128F9306A6D	E_major
Big Shug	Tha Way It Iz	TRHTJCD128F4269972	E_major
Marilyn Manson	The Dope Show	TRHTLCM128E0783A19	D_major
Big City Orchestra	Tone Through Piano With Guitar Strings	TRHTNXO128F4220061	G#_minor
Miley Cyrus	7 Things	TRHTOVS128F92EBF0E	E_major
Fugees	Killing Me Softly With His Song	TRHTQFK128F427BBAA	A_major
Zez Confrey	Dizzy Fingers	TRHTUAM12903CC2906	A_major
Megadeth	A tout le Monde (live)	TRHTUQS128F930B932	F#_minor
Gianni Agrey	Progression (Acid Mix)	TRHTVSG128F42452E3	D_minor
Sunbeam	Watching The Stars (Pete Plastic Remix)	TRHTWTM128F14A05E6	G_minor
Christian Lais	Du liebst sein zweites Gesicht	TRHTXGR12903CD82BE	C_major
David A. Stewart & Candy Dulfer	Lily Was Here	TRHTZGA128F428CBAC	B_minor
ABC	The Look Of Love (Part 1)	TRHUAIB128F425C2D9	C_major
La Cabra Mecanica	Antiheroe	TRHUKTQ128F4232A5D	C_major
Billy Lee Riley	Lost My Only Love	TRHUNNY12903CDBCD5	E_major
George Acosta feat. Aruna	Fallin Backwards	TRHUQWH128F92FA06A	G_major
Rose Royce	I'm Going Down	TRHURXV12903CC4E2A	G_major
Soulsearcher	Feelin' Love [Axwell Vocal Remix]	TRHUTWY128F4263871	E_minor
The Handful	Writing On The Wall	TRHUVQR128F429C950	D_minor
Cserháti Zsuzsa	Ébredj velem	TRHUZDZ128F423CC00	C_minor
Lighthouse Family	Question Of Faith	TRHUZZA128F14628D1	G_minor
Majai	Lightwave	TRHVACN128F9310A36	D_minor
U2	Window In The Skies	TRHVBZP128F933ADCF	D_major
Eddy Grant	Everybody Dance	TRHVMYN12903CC376A	A_minor
Neno Belan	Vino noci	TRHVNQA12903CFDCBB	G_major
Kylie Minogue	Come Into My World	TRHVOHR128E07840A4	G#_minor
ADJD	Think You Know Me	TRHVRAX12903CD93BE	F#_major
Rihanna	Disturbia	TRHVRGB128F92F4C9D	A_major
Zeca Baleiro	Brigitte Bardot	TRHVTKV128F92F5EC1	G_major
Stephanie Mills	Feel The Fire	TRHVUZI128F14A43CE	G_minor
Johnny Rawls	I Been Broken Hearted	TRHVWEY128F424B2B8	D_minor
Journey South	It Must Have Been Love	TRHVWRT128F42ADFF9	F_major
Panpipes	Night Fever	TRHVWXQ128F92CBAA4	E_major
Enrique Iglesias	Experiencia Religiosa	TRHVYIX128F427E01E	G_minor
Lynyrd Skynyrd	Free Bird	TRHWANA128F93173FC	D_minor
Mateo And Matos	A New World	TRHWBJB128F92D9112	F#_minor
1200 Mics	The Cosmologist	TRHWDFZ12903CB473E	G_minor
Michele Zarrillo	Sogno	TRHWDNU128F4279A2F	G_major
Anaconda	Sound Of Love (pa pa pa) (Extended Version)	TRHWGHR128F42904B0	E_major
Willy DeVille	Stand By Me (Album Version)	TRHWMKQ128F931B51D	G_major
Israel Philharmonic Orchestra / Zubin Mehta	4. Allegro con fuoco	TRHWNBC128F9303FCF	B_minor
Kissy Sell Out	Her	TRHWOEX128F425B1E0	F_major
D-12	My Band	TRHWOKF128F93110D7	F#_minor
Hot Chip	Over And Over (Naum Gobo Remix)	TRHWPLU128F427D912	E_minor
John Waite	Restless Heart	TRHWPMY12903CA8F47	C_major
Roger Waters	Towers Of Faith	TRHWQLL128F4279996	E_minor
Serge Devant	Sweet Harmony (Dave Dresden & Trent Cantrelle Dub)	TRHWRDZ128F92D2BE9	Eb_major
Alaska Y Dinarama	Deseo Carnal	TRHWTAE128F1472CF6	E_minor
The Royal Philharmonic Orchestra	Winter Wonderland	TRHWTRJ128F1454441	Bb_major
Toby Keith	Woke Up On My Own	TRHWUBN12903CEF514	G_minor
Shake Da Mayor	Room 559 (Skit)	TRHWWEX128F9341A78	F_major
Britney Spears featuring Madonna	Me Against the Music	TRHWWIL128F4293199	C#_minor
The Cowsills	Hair	TRHWXVO128F92F1658	C_minor
Virtuoso	Ei Aina Käy Niin Kuin Haaveiltiin -Yoy Only Live Twice-	TRHWYCC128F1453CB4	C_major
Daniel Bedingfield	Never Gonna Leave Your Side	TRHXCND12903CD3E81	C_major
Ray Charles	Hallelujah I Love Her So (Single/LP Version)	TRHXCWN128F4286948	D_minor
Lorenzo Antonio	Tiene Que Ser Amor	TRHXEVG128EF366BC1	C_major
Bob Rivers	Wrong Foot Amputated (LP Version)	TRHXFFP12903D0738E	E_minor
Carpenters	Hurting Each Other	TRHXHDL128E0791245	E_major
Rally	Blommor I En Vas - Robetson	TRHXIQQ12903CB25FA	A_minor
DJ Shah	Beautiful (Glimpse Of Heaven)	TRHXKCR128F92E0480	F#_major
Gil Semedo	Lison Di Vida	TRHXLML128F934D734	C#_major
Lonestar	Amazed	TRHXPTZ12903CC84C7	Bb_minor
Barry Manilow	I Write The Songs	TRHXQGG128F4287F0D	A_minor
Blink-182	Mutt	TRHXSUH128F9312581	A_major
Inez	Stronger  (Original Club Mix)	TRHXYPY12903CBD6E5	F#_major
Gotthard	What Can I Do	TRHXZBT128F4298B47	E_major
Travis Tritt	I'm All The Man (LP Version)	TRHYCWJ12903CCCE83	B_minor
Jean-Louis Aubert	Voila C'est Fini	TRHYDKN12903CFAE4E	C_major
Soda Stereo	Estoy Azulado	TRHYDOV128F9338132	G_minor
Bonnie Tyler	A Whiter Shade Of Pale	TRHYGHN128F92FA64D	Eb_major
Nat King Cole	Autumn Leaves	TRHYGVQ12903D046A9	A_minor
S.O.A.P.	Romeo & Juliet	TRHYHCK128F9327BF8	F_major
Mancy	Global Pulse	TRHYJAG12903CD8F97	Bb_major
Los Llaneros De La Frontera	El De Las Botas Negras	TRHYMON128F4252E32	D_major
Radiohead	Karma Police	TRHYPVF12903CB2D20	G_major
Westernhagen	Nimm mich mit 2000 (Album Version)	TRHYRLP128F426C9C2	G_minor
Marc van Linden	Tremble	TRHYTRX128F426EA7E	F_major
Alison Krauss	Molly Bán (Bawn)	TRHYUGX128F93004CA	G_minor
Sister Sledge	Frankie	TRHYUNG128F92FC290	B_major
Riccardo Cocciante	Lucia	TRHYYNZ128F4291D56	C_major
Pandora	Matandome Suavemente (Killing Me Softly)	TRHZAEL128F9348C06	Ab_major
Coolio feat. 40 thevz	C U When U Get There (Edit)	TRHZAZX128F4276805	Eb_major
Maná	Tengo Muchas Alas	TRHZBQJ128F428300B	G_minor
Wet Wet Wet	Love Is All Around	TRHZERX128E0783F5D	F_minor
MSTRKRFT / John Legend	Heartbreaker	TRHZGUT128F9329361	C_minor
Westlife	Uptown Girl	TRHZHBP128F425A1AF	D_major
Carlos Baute	En nuestro aniversario	TRHZJKT128F92E20E9	Bb_major
Toni Braxton	Hit The Freeway	TRHZJKU128F42A2467	A_minor
Danza Invisible	Sabor De Amor_ 1984	TRHZJVZ128F42316B2	E_major
Creedence Clearwater Revival	Lodi	TRHZLNB128F4228CCF	Bb_major
Cradle Of Filth	One Final Graven Kiss	TRHZNWO128F4276932	C_minor
Fred  Worx	Blippers	TRHZOOY12903CD0BF5	C_major
Uman	The Moon 2005	TRHZWAZ128F4251772	Bb_minor
Manic Street Preachers	No Surface All Feeling	TRHZYKN128F9303C8B	F#_minor
Tasmin Archer	Sleeping Satellite	TRHZYPX128F92D2E06	F_minor
Bob Dorough	Introducing Daryl Sherman	TRHZZGH128F422D78C	G_minor
Go West	We Close Our Eyes	TRIABPA128F9304586	F#_major
Gloria	Követem Nyomát	TRIAICH128F92E2279	D_minor
Phillips_ Craig And Dean	A Place Called Grace (Key-G-Ab-Premiere Performance Plus)	TRIAJTY128F9325448	G_major
Kikki Danielsson	Undercover Lovers	TRIALFL128F92E4ADD	D_major
Anaconda	Sound Of Love (pa pa pa) (Stacccato vs Blue Nature Remix)	TRIARDP128F42904B1	E_major
Glass Tiger	Looking At A Picture	TRIATAS128F1465355	Ab_major
Kaysh	Creep	TRIAUPQ128F9356E0F	Bb_major
Bill Fay	War Machine	TRIAVFP12903CCBB34	C#_major
Lara Fabian	Pas Sans Toi	TRIAVLT128F4215C89	E_minor
Rush	Emotion Detector	TRIAVOG128F1491810	F_major
Sergio Dalma	Bailar Pegados	TRIAVXR128F42150EE	G_major
Stanley Clarke	Let's Meet Isaac	TRIAZSC128F423CCF1	G_major
Daniel Lavoie	Tu vas me détruire	TRIBFQD128F92FB886	D#_minor
Crystal Gayle	Talking In Your Sleep	TRIBGHS128F1461861	C_minor
SQ-1	Music So Wonderful - Remixes (ATB Remix)	TRIBHYQ128F14A0A28	E_major
Nadia (W)	A chillar a otra parte (Karaoke)	TRIBJKP128F9321212	E_major
Faith Hill	This Kiss (Pop Remix a.k.a. Radio Version)	TRIBJZE128E0799683	F#_minor
Bob Sinclar	I Feel For You (Spiller Mix)	TRIBLTS128F422B6AA	Bb_minor
The Corrs	Would You Be Happier? (Alternative Mix))	TRIBNPM128F147C563	D_major
Today Is The Day	Train Train	TRIBPQX128F4291617	Bb_major
The Mindbenders	The Letter	TRIBRPU128F93099B0	E_minor
Ella Baila Sola	Amores De Barra	TRIBSVG128F1491A8A	G_major
Cristy Lane	Amazing Grace (23 Millennium Classics Album Version)	TRIBTYO128F4260162	C_major
Blur	Stereotypes	TRIBZEK128F14681EB	D_major
Clarence Carter	Lovely Day	TRICBEE12903CB4BCB	E_minor
Elzyo Silver	You Don't Have To Say You Love Me	TRICGLE12903CA8E6B	Bb_major
Lita Ford	Bad Love	TRICITZ128F428516E	C_major
Rush	Half The World (Remastered LP Version)	TRICKHI128E0784FAC	D_major
Los Caminantes	Supe Perder	TRICKVQ128F9333230	Ab_major
Jennifer Lopez	Waiting For Tonight	TRICLKC128F4267633	F_minor
David Palmer	Survival	TRICNBR128F428E70D	B_minor
The Pretenders	Middle Of The Road (Re-mastered for 'Pirate Radio')	TRICNXR128F146EBAE	A_minor
Rick James	Super Freak	TRICOAO128F1460F9F	A_minor
Danny Wilson	I'll Be Waiting	TRICOTZ128F424ABD1	C_major
Ron Trent	Journeyn2u	TRICPZT128F92DE371	A_minor
Andre Hazes	Zij Gelooft In Mij	TRICRAC128F4272EF3	Bb_major
Area	LLPOD	TRICRQT12903CADF2A	C_major
The Roc Project	Déjà Vu (DJ Sted-E VS Ray Roc House Mix)	TRICSCI12903CE84C6	G#_minor
Monday Michiru	The Right Time (Jephte's AKapela Time)	TRICTIF12903CD8134	C#_major
The Wideboys ft. Clare Evers	Bomb The Secret	TRICZDV128F4229B21	F_major
Janice Vidal	Gloomy Holiday	TRICZJZ12903CE3464	A_major
Janet Jackson	Again (Piano/Vocal)	TRIDAFI128F4255BD9	E_minor
Estatuas De Sol	Caer	TRIDAVU128F4278CA1	Ab_major
US Coast Guard Band	Tattoo	TRIDAZE128F428C570	D#_minor
Gary Smith	Waiting For Spring	TRIDBIO128F4248449	Bb_major
Kool & The Gang Featuring Blue & Lil Kim	Get Down On It	TRIDBQF128F42522D0	C_major
Fred Numf	Waste Land	TRIDECY128F9316722	F_minor
Edith Lefel	Piensa en mi (Live à l'Olympia)	TRIDFHU128F93073BD	E_major
Karaoke	Don't Dream It's Over (Karaoke-Version) As Made Famous By: Crowded House	TRIDFZP128F930DCC3	Eb_major
Nocturnal Rites	The Legend Lives On	TRIDQPS12903CF07A1	A_minor
Dinu Lipatti	Chorale Prelude: Nun kom'_ der Heiden Heiland_ BWV. 599 (Arr. Busoni) (1999 Digital Remaster)	TRIDSLA128F42557A7	G_minor
Yuridia	Todo Lo Que Hago Por Ti (Everything I Do) (I Do It For You)	TRIDVBD128F934810F	Db_major
Panpipes	Don't Be Cruel	TRIDWOZ128F92CB726	D_major
Christian Anders	Stille Nacht_ Heilige Nacht	TRIDYNT12903CB6724	C_major
Guadalupe Pineda	De Nuevo Sola	TRIDZFR128F9347787	B_minor
Aerosmith	Dude (Looks Like A Lady)	TRIDZST128E079433E	E_minor
Muse	Guiding Light	TRIEAAR12903CB78F4	C_major
Dion	And The Night Stood Still	TRIEBGK128F933F1AD	E_major
Chicago	Hard Habit To Break (Live in Chicago_ Il. - 1999)	TRIEFKM128F14738F4	F#_minor
Ruth	I'm The One Who Wants To Be With You	TRIEHNM128F933C739	E_major
Ellen Allien	Magma (The Mfa Remix)	TRIEKKS128F423AEB8	G#_minor
Nick Heyward	Blue Hat For A Blue Day	TRIENQO128F429A59E	B_minor
Ace Cannon	The Long And Winding Road	TRIEPZN128F92F7601	Eb_major
In-Grid	Les Fous	TRIERTH12903CCD7C2	F_minor
Booty Luv	Say It	TRIEUTH12903CA945E	E_major
883	Un Giorno Così	TRIEVBC128E078A90C	A_major
Loggins & Messina	Long Tail Cat	TRIEWIA128F92ECE2D	B_minor
Unicorn Kid	8 Bytes	TRIFAMQ12903CD0D57	E_minor
50 Cent	In Da Club	TRIFCJJ128F930994B	E_major
Soft Cell	Tainted Love	TRIFEQF128F92F0344	G_minor
Richard Clayderman	What A Wonderful World	TRIFFOB128F92C92C2	A_minor
Mr. Mister	Broken Wings	TRIFFZN128F42A39C9	A_major
Erdmöbel	Das Modell	TRIFGUT128F92DC202	A_minor
Kenny Loggins	Footloose	TRIFIEQ128F92FCD06	A_major
Shannon Brown	Turn To Me (Album Version)	TRIFNBO128EF35A207	G_major
Tom Petty	I Won't Back Down	TRIFNXT128F4274A8C	B_minor
Eduardo Cruz	P.M.	TRIFPQO128F1495FFE	D_major
Lil' Mo' Yin Yang	Reach [Alcatraz Lil' Mo' Got Gangbanged Mix]	TRIFSGX128F4263854	Ab_major
Dr. Alban	It's My Life	TRIFTYR128F428EC07	E_minor
Ground Floor	Solitary Prayer	TRIFUGW128F4282380	E_major
Devo	Enough Said	TRIFVBJ128F1467D50	E_minor
Audioslave	Show Me How To Live	TRIFVDW128F4279DE0	A_minor
José Carreras;Peter Maffay	Nessaja	TRIFXFK128F4293D4F	F#_minor
Cristy Lane	Amazing Grace	TRIGAKD128F4270909	C_major
Simon Fisher Turner	Endbag	TRIGBIT12903CC0BE8	G_minor
Lucia Micarelli (With Guest Artist Lang Lang)	"Meditation From ""Thais"" (With Guest Artist Lang Lang) (Album Version)"	TRIGFNI128E07950A6	F#_minor
Whitney Houston & Deborah Cox	Same Script_ Different Cast	TRIGHLA128F42B82E1	F#_minor
Floyd Cramer	Have I Told You Lately	TRIGHVR128F4233A37	Bb_major
HIM	Don't Fear The Reaper	TRIGLDP128F428E7E3	E_minor
The Moffatts	Miss You Like Crazy	TRIGMFW128F145F08F	G_major
Carl Davis	Raiders of the Lost Ark: Main title theme	TRIGSYN12903CC2357	G_minor
Eugene Ormandy;The Philadelphia Orchestra	Sleepers Awake from Cantata No. 140	TRIGUVE128F428064C	Bb_major
Blue Orchids	Sleepy Town	TRIGWOU128F4272518	B_minor
Lionel Richie / Diana Ross	Endless Love	TRIGXQN128E078FEC7	F_major
Pierre Pienaar feat. Marcie	If Youre Not Here	TRIGZWG12903CD5752	Bb_major
Vitamin C	The Itch (LP Version)	TRIGZWY128E07851FD	B_minor
Panpipes	Solitaire	TRIHAJI128F92C54BE	E_major
Sandra	Maria Magdalena (Single Version)	TRIHAQU128F932B881	B_minor
The Waterboys	A Song For The Life (2008 Digital Remaster)	TRIHBRI128F4275915	E_major
Los Humildes	Tanto Amor	TRIHFTE128F930944E	E_major
Mary Wells	My guy	TRIHHLM128F9349701	F_major
Hugh Masekela	Saduva	TRIHKSB128F427A327	C_minor
David Civera	Bye Bye	TRIHMBW128F422BFF2	D_minor
Bruce Springsteen	Human Touch	TRIHNGB128F426B04F	G_major
Tullycraft	We Know You're Cute_ You Told Us	TRIHNYM128F92E0876	G_major
Bomfunk MC's	Freestyler	TRIHQIL128F427D553	B_minor
The Brooklyn Tabernacle Choir	Praise You (Reprise)	TRIHRWA128F92FE24C	D_minor
Matthew West	My Favorite Part	TRIHULI128F931F600	Db_major
Kylie Minogue	Slow (Showgirl Tour - Live In Sydney)	TRIHUZR128F149B248	Bb_minor
3 Doors Down with Soul Children Of Chicago	Presence Of The Lord	TRIHZCH128F934954F	E_minor
Ronan Keating	Suspicious Minds	TRIIAOD128F92F2788	G_major
Gary Hobbs	Eres Toda Mi Ilusion	TRIICAW128F4271A27	G_major
Lucas Prata	It's Beginning To Look A Lot Like Christmas	TRIIEJV128F1494406	C_minor
Sky Motion	All The Time	TRIIEXX128F9323D97	E_major
Nine Inch Nails	Closer	TRIIFIA128E07912F6	F_major
Roch Voisine	Pourtant	TRIIGCK128F42A28C7	Eb_major
Abba	The Name Of The Game	TRIILOC128E0793F63	F#_minor
Connie Smith	If I Talk To Him	TRIILYW128F935ADA1	F_major
Uriel	Horizon	TRIIMCN128F930487E	F_minor
Gloria Gaynor	I Will Survive	TRIIMYB128F9316E80	E_minor
Clay Crosse	He Ain't Heavy	TRIIPBA12903CECFD9	D_major
Orgy	Blue Monday [DJ Dan Remix]	TRIIPYC128E07865D3	D_minor
The Association	Cherish	TRIISEF12903CDFAAF	F_major
Juliet Jonesin Sydan	Juliet Jones	TRIIYBV128F424EFF7	A_minor
Jens O. vs. Ti-Mo	Every Little Move	TRIJGNK12903CBAF4A	E_major
Chris Farlowe	Miss You Fever	TRIJHXV12903CF9518	G_major
The Cowsills	Hair	TRIJKJV128F92F2E64	C_minor
Joseph Lamb	The Alaskan Rag	TRIJMAT128F934D0E4	Ab_major
Céline Dion	My Heart Will Go On	TRIJOKZ12903CCDAB7	E_major
DJ Liquid	4-Track Mind	TRIJOXH128F4235829	D_minor
Fabolous	Can't Let You Go  (Rolling Stone Version)	TRIJQBQ128F1480DD7	E_major
Jahcoozi	Watching You	TRIJSAA128F9317CE3	C_major
Marianne Faithfull	The Ballad Of Lucy Jordan	TRIJTPP128F42375E5	E_major
Wilson Phillips	The Dream is Still Alive	TRIJVSN128F425D9B4	F_major
Spyro Gyra	Morning Dance	TRIJXUW128F422F9B6	C_major
Lil' Flip	Snap Yo Fyngaz	TRIJZWP128F4244D1A	D_minor
Francis Lai	Theme From Love Story	TRIKBJF128F1459B59	E_minor
Alex feat. Alex	We Like To Party (Extended Version)	TRIKGIE128F4250EB3	Ab_major
LITTLE TEXAS	God Blessed Texas (Remastered Album Version)	TRIKJAO128F1478AA7	A_major
Sha-Na-Na	Rock N' Roll Is Here To Stay	TRIKJGU128F92E63E9	D_major
2 Brothers On The 4th Floor	I'm Thinkin' Of You (Radio Version)	TRIKNKU128F92E6816	E_minor
Divinyls	Boys In Town	TRIKNRM128F145C0F6	A_major
Roy Gates	I'Am The Music	TRIKQBO12903CB5B3B	Db_major
The Brian Jacket Letdown	White Sky	TRIKSHB128F92FE7C0	A_minor
Vanessa Carlton	A Thousand Miles	TRIKUEF128F148D7C6	B_major
Junior Jack	Da Hype Feat. Robert Smith (Warren Clarke Vocal Dub Mix)	TRIKUXV128F4228681	Bb_minor
Chris Clark	One	TRIKVKG128E0785F8F	C_major
Madonna	Like A Prayer (Album Version-Immaculate Collection)	TRIKYSH128E0786C02	A_minor
HAMMERFALL	Let The Hammer Fall	TRIKZDD128F4224B05	G#_minor
Andrelli & Blue Feat. Hila	Imagine	TRILAJY12903D1353D	E_minor
Calanit	Sculptured (Chris Salt Club Mix)	TRILATS128F42ABD42	Db_major
The Wonders	That Thing You Do!	TRILCGS128F4270DB8	E_major
The Marvelettes	Forever	TRILCTP128F931B07F	G_major
Blink-182	Adam's Song	TRILDNT128F1451F15	A_minor
Collective Soul	She Gathers Rain  (LP Version)	TRILFEK12903C9AAB7	E_major
Talib Kweli / Common / Anthony Hamilton	Ghetto Show	TRILGTQ128F425C143	G#_minor
The Calling	Wherever You Will Go	TRILIDM128F9364C90	B_minor
Roxy Music	Jealous Guy	TRILIVL128F1469326	D_major
Foghat	Paradise Alley	TRILJHE128F14A9048	A_major
Pugh Rogefeldt	Solseggietto	TRILMIN128F147D813	Eb_major
Youth Group	Start Today Tomorrow	TRILQOQ128F428BE72	E_major
Sergio Endrigo	Lontano Dagli Occhi	TRILTJX128E0795ED6	G_minor
Sade	Cherish The Day	TRILYEJ128F4259E6E	C_minor
Joseph Lamb	Sensation - A Rag	TRILYRU128F934D0D8	D_major
Mystic Revealers	Musical Garden (LP Version)	TRILZOT128F14861F0	D_major
Dottie West	What's Come Over My Baby	TRIMFQA128F429132D	F_major
The Fortunes	Freedom Come_ Freedom Go	TRIMHSH128F4247CE7	G_major
Morbid Angel	In Remembrance	TRIMIDB12903CF5C10	B_minor
George Winston;Michael Gordon	The Crystal Ship	TRIMJAQ128F92EC50D	C_minor
Kathy Brown	Get Another Love [[Bobby Blanco and Miki Moto Club Mix]	TRIMJJH128F422BA10	E_minor
The Mormon Tabernacle Choir	For Unto Us A Child Is Born from Messiah	TRIMMKT128F4272957	D_major
Spagna	Colpa Del Sole	TRIMNLS128F42AD280	A_major
Martin Böttcher	Grand Canyon - Melodie  *	TRIMSPF128F42444E6	A_major
Fear Cult	Girls & Boys	TRIMVXU128F4275E4A	C_minor
September	Until I Die	TRINBAR12903CABA6C	G_minor
Jovanotti	Per Te	TRINBRW128F1490EF8	E_minor
The Tremeloes	Yellow River	TRINCHM12903D083F0	E_major
Danza Invisible	Para Siempre	TRINFKJ128F42435A3	C_major
Sheila On 7	Terlalu Singkat	TRINFRF12903CC8050	F_major
Gary Portnoy	Cheers Theme (Original Demo)	TRINHQF12903CA0D5F	Bb_major
Lisa Millett	When I'm Dancin' [Danism Mix]	TRINMAK128F424D71C	E_major
Contour	Happy People	TRINQIT128F9321331	F#_minor
Ricky Martin	Ven A Mí (Come To Me)	TRINQNK128F42691DC	C#_major
The Radio Dept.	Too Soon	TRINSAC12903CB6331	Ab_major
John Novacek	"Granados:Spanish Dance No.2 (""Oriental"")"	TRINSUJ12903CEB431	C_minor
Sasha	I Feel Lonely - Extended Reggae Version	TRINSWY128F1473198	A_major
Spectrum	Sweet Caroline	TRINZYY12903CF02F1	B_minor
Freddie & The Dreamers	I Understand	TRIOEKS12903CFB1FA	F_major
Floyd Cramer	Your Last Goodbye	TRIOFFX128F428AD70	D_major
Santana	Africa Bamba	TRIOKQE128F42AEB5C	E_minor
Philip Oakey & Giorgio Moroder	Together In Electric Dreams (Instrumental) (2003 Digital Remaster)	TRIONDP128F429DB55	Eb_major
Zebda	Tomber La Chemise	TRIOOIT128F14910F7	Bb_major
Giorgia	E Poi	TRIOPGM128F42954FD	C#_major
Trancedellic	Delicious Dreamer	TRIOUNA128F9328349	C_major
The Greenberry Woods	#37 [Feels So Strange]	TRIOUNB12903C9C833	B_minor
Balligomingo	Sweet Allure	TRIOUQR128F932F39B	D_minor
Frank Chacksfield & His Orchestra	Ebb Tide	TRIOZJN128F931EDD8	G_major
Okay	Hot-Wired	TRIPAJF12903CB24FA	G_major
Don Williams	You've Got a Friend	TRIPAYV128F930A09F	C#_minor
Frolic	Now Without You	TRIPDZG128EF367ED9	E_minor
Shalim	Agua	TRIPEDF128F427F875	D_minor
Green Day	All The Time (Album Version)	TRIPENO128E0785868	E_minor
Matthew West	Save A Place For Me (High Key-Premiere Performance Plus w/o Background Vocals)	TRIPGGB12903CC68E3	C_major
Cheb Nasro	Kinsek Siha Aalach Tebghini	TRIPHCN128F92EA7BB	E_minor
Steve Tyrell	Fly Me To The Moon	TRIPHJS128F1490084	C_major
Matia Bazar	Vacanze Romane (1998 Digital Remaster)	TRIPHYI128F147D40D	E_minor
The Joe Perry Project	Buzz Buzz	TRIPIYY128F4267AB7	E_major
El Canto del Loco	Foto En Blanco Y Negro 2008	TRIPJGO128F92E269F	B_major
Andy Griffith	Sweet Hour Of Prayer (Medley)  (Love To Tell The Story Album Version)	TRIPPNU128F4266DF6	A_major
Shinedown	One [Clear Channel Stripped]	TRIPSDS128F92EF662	G_major
John Denver	Take Me Home_ Country Roads	TRIPTNA128F428B280	E_major
The Sun Harbor's Chorus-Documentary Recordings	Stable call	TRIPUGD128F42810BC	F_major
Natasha Bedingfield	The One That Got Away	TRIPWKB128F92EFCA3	A_major
El Símbolo	Ven A Cumbiar(Reggaeton Mix)	TRIPWRW128F934058D	C_major
John Lord Fonda	Music is not Computer Algebra (Dark Club Mix)	TRIQCXQ128F4292557	D_minor
Christina Aguilera	Keeps gettin' better	TRIQDYV12903CBD7D1	F_minor
Carpenters	Ave Maria	TRIQEJU128F14923AF	Eb_major
Manic Street Preachers	Ocean Spray	TRIQEKX128F92E65DE	D_major
Tina Charles	I Love To Love (Remix)	TRIQEMX128F930DDA3	E_major
Richard Clayderman	Jesu Joy Of Man's Desiring	TRIQKIN128F1489A11	G_major
